code,trustId
E05008956,RN3
E05008960,RN3
E05008969,RN3
E05012980,RN3
E05012104,RD1
E05012461,RD1
E05012471,RD1
E05012485,RD1
E05012488,RD1
E05012491,RD1
E05012492,RD1
E05005081,NN8
E05005089,NN8
E05005091,NN8
E05005093,NN8
E05005097,NN8
E05005100,NN8
E05005102,NN8
E05002319,RHW
E05002322,RHW
E05002323,RHW
E05002328,RHW
E05002385,RHW
E05009450,RLQ
E05009452,RLQ
E05009453,RLQ
E05009456,RLQ
E05009459,RLQ
E05009482,RLQ
E05009489,RLQ
E05012651,RDZ
E05012652,RDZ
E05012659,RDZ
E05012661,RDZ
E05012662,RDZ
E05012669,RDZ
E05012675,RDZ
E05012679,RDZ
E05007409,RTP
E05012877,RTP
E05012880,RTP
E05012882,RTP
E05012883,RTP
E05012885,RTP
E05004288,RTE
E05004292,RTE
E05004295,RTE
E05004296,RTE
E05004298,RTE
E05001325,RL4
E05001326,RL4
E05001328,RL4
E05001335,RL4
E05001339,RL4
E05001340,RL4
E05012209,RJR
E05012211,RJR
E05012216,RJR
E05012228,RJR
E05012235,RJR
E05002198,RC9
E05002202,RC9
E05002203,RC9
E05002207,RC9
E05008787,RC9
E05012844,RC9
E05001239,RNA
E05001240,RNA
E05001243,RNA
E05001250,RNA
E05001255,RNA
E05000457,RJ7
E05000471,RJ7
E05000474,RJ7
E05000611,RJ7
E05000612,RJ7
E05000616,RJ7
E05000618,RJ7
E05000627,RJ7
E05007694,RYR
E05007698,RYR
E05007700,RYR
E05007705,RYR
E05007706,RYR
E05001071,RR7
E05001073,RR7
E05001078,RR7
E05001080,RR7
E05001087,RR7
E05001177,RR7
E05007457,RLT
E05007466,RLT
E05007477,RLT
E05007484,RLT
E05007487,RLT
E05007489,RLT
E05008753,RC1
E05008758,RC1
E05008763,RC1
E05008766,RC1
E05008768,RC1
E05008772,RC1
E05000655,RMC
E05000656,RMC
E05000662,RMC
E05000665,RMC
E05000769,RMC
E05011120,RRK
E05011126,RRK
E05011127,RRK
E05011138,RRK
E05011167,RRK
E05011182,RRK
E05011186,RRK
E05012544,RA4
E05012545,RA4
E05012546,RA4
E05012547,RA4
E05000402,RAX
E05000403,RAX
E05000407,RAX
E05000409,RAX
E05000415,RAX
E05000469,RAX
E05000517,RAX
E05000519,RAX
E05000621,RAX
E05000917,RBN
E05000922,RBN
E05000924,RBN
E05000927,RBN
E05000928,RBN
E05000930,RBN
E05000931,RBN
E05000029,RF4
E05000030,RF4
E05000034,RF4
E05000042,RF4
E05000315,RF4
E05000316,RF4
E05000317,RF4
E05000319,RF4
E05001347,RAE
E05001348,RAE
E05001352,RAE
E05001359,RAE
E05001363,RAE
E05010885,RA7
E05010894,RA7
E05010895,RA7
E05010905,RA7
E05010907,RA7
E05011575,RXC
E05011578,RXC
E05011582,RXC
E05011651,RXC
E05011664,RXC
E05010286,RA3
E05010297,RA3
E05010298,RA3
E05002251,RPA
E05002255,RPA
E05002261,RPA
E05002268,RPA
E05002270,RPA
E05001265,RBK
E05001281,RBK
E05001303,RBK
E05001304,RBK
E05001311,RBK
E05001316,RBK
E05000779,RWJ
E05000787,RWJ
E05000789,RWJ
E05000793,RWJ
E05000796,RWJ
E05008646,RWJ
E05010806,RGN
E05010807,RGN
E05010812,RGN
E05010817,RGN
E05010821,RGN
E05000842,RRF
E05000847,RRF
E05000851,RRF
E05000859,RRF
E05000862,RRF
E05002425,RXH
E05002427,RXH
E05002431,RXH
E05002433,RXH
E05000976,RFF
E05000979,RFF
E05000980,RFF
E05000983,RFF
E05000985,RFF
E05000986,RFF
E05000993,RFF
E05011525,RWA
E05011526,RWA
E05011537,RWA
E05011541,RWA
E05000800,RMP
E05000809,RMP
E05000810,RMP
E05000816,RMP
E05000817,RMP
E05001532,RVW
E05001541,RVW
E05001542,RVW
E05001547,RVW
E05001551,RVW
E05011174,RRK
E05011175,RRK
E05011176,RRK
E05011177,RRK
E05011179,RRK
E05011180,RRK
E05011181,RRK
E05011011,RH8
E05011014,RH8
E05011020,RH8
E05011021,RH8
E05011023,RH8
E05009855,RTR
E05009857,RTR
E05009861,RTR
E05009864,RTR
E05009867,RTR
E05009869,RTR
E05000420,RJZ
E05000434,RJZ
E05000435,RJZ
E05000436,RJZ
E05011096,RJZ
E05011097,RJZ
E05011100,RJZ
E05011115,RJZ
E05000926,RBN
E05001579,RBN
E05001584,RBN
E05001591,RBN
E05010936,RBN
E05010940,RBN
E05010941,RBN
E05010944,RBN
E05010945,RBN
E05001153,R0B
E05001158,R0B
E05001162,R0B
E05001167,R0B
E05012819,RH5
E05012830,RH5
E05012807,RH5
E05012813,RH5
E05012826,RH5
E05012832,RH5
E05012837,RH5
E05012838,RH5
E05011290,RGT
E05011291,RGT
E05011296,RGT
E05011303,RGT
E05011307,RGT
E05002702,RGT
E05002713,RGT
E05002711,RGT
E05000193,RAP
E05000197,RAP
E05000201,RAP
E05000205,RAP
E05000276,RAP
E05000283,RAP
E05000600,RAP
E05000607,RAP
E05008859,RK5
E05008861,RK5
E05008864,RK5
E05008883,RK5
E05010677,RK5
E05010691,RK5
E05010693,RK5
E05010694,RK5
E05008942,RX3
E05008947,RX3
E05008948,RX3
E05008950,RX3
E05000458,RJ6
E05000467,RJ6
E05000555,RJ6
E05011464,RJ6
E05011465,RJ6
E05011472,RJ6
E05011479,RJ6
E05000325,RAS
E05000328,RAS
E05000332,RAS
E05000340,RAS
E05000341,RAS
E05000345,RAS
E05008716,RJE
E05008726,RJE
E05008728,RJE
E05008733,RJE
E05008736,RJE
E05008737,RJE
E05011417,RJE
E05008727,RJE
E05011427,RJE
E05011419,RJE
E05011423,RJE
E05011431,RJE
E05011434,RJE
E05003147,RTX
E05003148,RTX
E05003151,RTX
E05003152,RTX
E05003153,RTX
E05003155,RTX
E05005626,RWD
E05009638,RWD
E05010786,RWD
E05010787,RWD
E05010789,RWD
E05010793,RWD
E05000468,RVR
E05000470,RVR
E05000563,RVR
E05000565,RVR
E05000568,RVR
E05000571,RVR
E05011350,R0A
E05011359,R0A
E05011361,R0A
E05011365,R0A
E05011368,R0A
E05011370,R0A
E05011372,R0A
E05011376,R0A
E05011377,R0A
E05001354,RCF
E05001355,RCF
E05001356,RCF
E05001357,RCF
E05006203,RCF
E05009666,RCF
E05009670,RCF
E05010774,RCF
E05010775,RCF
E05011346,RCF
E05012615,RYG
E05012616,RYG
E05012621,RYG
E05012622,RYG
E05012631,RYG
E05012617,RYG
E05009372,RQX
E05009373,RQX
E05009374,RQX
E05009379,RQX
E05009380,RQX
E05009381,RQX
E05009386,RQX
E05000830,R0A
E05000839,R0A
E05011353,R0A
E05011374,R0A
E05011381,R0A
E05010516,RX1
E05010517,RX1
E05010518,RX1
E05012277,RX1
E05012279,RX1
E05012282,RX1
E05012285,RX1
E05012286,RX1
E05012289,RX1
E05008178,RXW
E05008180,RXW
E05000130,NW602
E05000144,NW602
E05000634,NW602
E05000639,NW602
E05000640,NW602
E05005010,NXM
E05007392,NXM
E05007669,NXM
E05011626,NXM
E05011630,NXM
E05011633,NXM
E05011634,NXM
E05011635,NXM
E05011652,NXM
E05011665,NXM
E05000138,8A718
E05000637,8A718
E05000644,8A718
E05000141,8A718
E05000143,8A718
E05001692,RWA
E05001693,RWA
E05001702,RWA
E05011539,RWA
E05011438,RTD
E05011443,RTD
E05011447,RTD
E05011454,RTD
E05011460,RTD
E05011437,RTD
E05011439,RTD
E05011448,RTD
E05010862,RHQ
E05010864,RHQ
E05010868,RHQ
E05010872,RHQ
E05010878,RHQ
E05010879,RHQ
